productClass	productGroup	productName	licenseStandard	licenseUnit	unitPrice
ITSM	wDesk(Service Delivery)	POLESTAR wDesk Availability Management	서버	1	100000
ITSM	wDesk(Service Delivery)	"POLESTAR Business Continuity Management(BCM, 서비스연속성관리)"	서버	1	200000
ITSM	wDesk(Service Delivery)	POLESTAR Service Level Management	서버	1	300000
ITSM	Application Management	Version Control Management(형상관리)	User 수(10기본)	1	50000
ITSM	Application Management	Deploy Management (배포관리)	User 수(10기본)	1	50000
ITSM	Application Management	Code Inspect Management	User 수(11기본)	1	50000
ITSM	Application Management	Test Scenario Manaement(테스트 시나리오관리)	User 수(10기본)	1	50000
ITSM	PMS	POLESTAR Project Planning Management (프로젝트 계획관리) 	User 수(10기본)	1	50000
ITSM	PMS	POLESTAR Project Progress Management (프로젝트 수행관리)	User 수(10기본)	1	50000
ITSM	PMS	POLESTAR Resource Management (프로젝트 자원관리)	User 수(11기본)	1	50000
ITSM	Billing	POLESTAR Billing Enterprise  Framework	서버	1	500000
ITSM	Billing	POLESTAR Contract Administration & Management  	서버	1	200000
ITSM	Billing	POLESTAR Unit Price Management  	서버	1	100000
ITSM	Billing	Cost Distribution Manaement	서버	1	100000
ITAM	AMDB	POLESTAR AMDB(Asset management DB)	서버	1	300000
ITAM	도입	Implementation project management (도입사업관리)	서버	1	200000
ITAM	도입	Purchase Contract Manaement (구매계약관리)	서버	1	200000
ITAM	도입	Installation inspection management (검수관리)	서버	1	200000
ITAM	운영관리	Asset Operation management (운영관리)	User 수(10기본)	1	100000
ITAM	운영관리	Asset Investigation Management (실사관리)	User 수(10기본)	1	100000
ITAM	운영관리	Idle Assets Management (유휴관리)	User 수(10기본)	1	100000
ITAM	운영관리	Reuse Asset Management (재사용관리)	User 수(10기본)	1	100000
ITAM	운영관리	Asset Rental Management (대여관리)	User 수(10기본)	1	100000
ITAM	운영관리	Asset Carry-in/out Management (반출입관리)	User 수(10기본)	1	100000
ITAM	폐기관리	Unavailable Assets Management (불용관리)	User 수(10기본)	1	100000
ITAM	폐기관리	Selling/Disposal Assets Management (매각/폐기관리)	User 수(10기본)	1	100000
ITAM	재무관리	Asset Depreciation Management (감가상각관리)	User 수(10기본)	1	100000
ITAM	소프트웨어 관리	SW Group Management (Server) 그룹관리(서버용)	개수	1	200000
ITAM	소프트웨어 관리	SW Group Management (End User Computing) 그룹관리(PC용)	Node 수	1	3000
ITAM	소프트웨어 관리	SW license Management (라이선스 할당/회수관리)	Node 수	1	3000
ITAM	소프트웨어 관리	SW Discovery Management (수집관리)	Node 수	1	3000
ITAM	유지보수관리	Maintenance Contract Management (유지보수 계약관리)	서버	1	10000
ITAM	유지보수관리	Maintenance Performance Management (유지보수 실적관리)	서버	1	10000
ITAM	바코드/QR/RFID				
ITAM	Auto Discovery(optional)	POLESTAR ITAM Manager	개수	1	30000
ITAM	Auto Discovery(optional)	POLESTAR Auto Discovery Agent	OS 수	1	3000
ITAM	Auto Discovery(optional)	POLESTAR Auto Discovery Node	Node  수	1	1500
SUPPORTING_TOOLS	Reporting Tool(비정형보고서)	POLESTAR Report Manager (form 4개 기본 제공)	Site License	1	30000
SUPPORTING_TOOLS	Reporting Tool(비정형보고서)	for Additional Form	개수	1	1000
CLOUD	PCM	POLESTAR Public Cloud Management	서비스 계정수	1	100000
CLOUD	PCM	"POLESTAR Public Cloud for EC2(EFS, VPC 포함)"			10000
CLOUD	PCM	POLESTAR Public Cloud for Lambda			5000
CLOUD	PCM	POLESTAR Public Cloud for S3			5000
CLOUD	PCM	POLESTAR Public Cloud for RDS			10000
CLOUD	PCM	POLESTAR Public Cloud for DynamoDB			10000
CLOUD	PCM	POLESTAR Public Cloud for Direct Connect			
CLOUD	PCM	POLESTAR Public Cloud for Route 53			5000
CLOUD	PCM	POLESTAR Public Cloud for CloudFront			5000
CLOUD	PCM	POLESTAR Public Cloud for Amazon API Gateway			5000
CLOUD	PCM	POLESTAR Public Cloud for AWS Config			5000
CLOUD	PCM	POLESTAR Public Cloud for AWS CloudTrail			5000
CLOUD	PCM	POLESTAR Public Cloud for Auto Scailing Group			5000
CLOUD	PCM	POLESTAR Public Cloud for Billing			50000
CLOUD	KCM	POLESTAR WorkNode for Kubernates Management	클러스터 수	1	100000
CLOUD	KCM	POLESTAR WorkNode for Kubernates			1000
CLOUD	KCM	POLESTAR WorkNode for Pivotal			1000
CLOUD	KCM	POLESTAR WorkNode for OpenShift			1000
BSM	BSM	POLESTAR Business Service Management	AP수량	1	500000
E2E	E2E	POLESTAR E2E for Service	서비스 수량	1	300000
E2E	Data Interface(Optional)	POLESTAR Data Adapter	수량	1	30000
